Kods,Nosaukums,Spēkā no,Spēkā līdz,Veiktās izmaiņas,Kods pirms izmaiņām,Kods pēc izmaiņām,Līmenis,Saistītās klasif.
0042490,Silajāņu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042500,Sīļukalna pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042510,Stabulnieku pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042520,Upmalas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0042530,Vārkavas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043000,Rēzeknes novads,01.07.2021,,,,,1,"NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043200,Viļāni,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043400,Audriņu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043410,Bērzgales pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043420,Čornajas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043430,Dekšāres pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043440,Dricānu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043450,Feimaņu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043460,Gaigalavas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043470,Griškānu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043480,Ilzeskalna pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043490,Kantinieku pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043500,Kaunatas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043510,Lendžu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043520,Lūznavas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043530,Maltas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043540,Mākoņkalna pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043550,Nagļu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043560,Nautrēnu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043570,Ozolaines pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043580,Ozolmuižas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043590,Pušas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043600,Rikavas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043610,Sakstagala pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043620,Silmalas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043630,Sokolku pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043640,Stoļerovas pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043650,Stružānu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043660,Vērēmu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0043670,Viļānu pagasts,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0044000,Ropažu novads,01.07.2021,,,,,1,"NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
0044200,Vangaži,01.07.2021,,,,,2,"ATVK2017 Vecā versija <-> Jaunā versija, NUTS2021 Nacionālā <-> Starptautiskā, NUTS2024 Nacionālā <-> Starptautiskā"
